MV: Downside:0.2690227412415488629379225569M Upside:8.772587584511370620774431469M RR:32.609092986063513822252684487M
WHALE: Downside:0.2448867385089069716296459204M Upside:8.692544534858148229601935342M RR:35.496183206106870229007633588M
VOXEL: Downside:0.3366681165724227925184862984M Upside:8.53545019573727707698999565M RR:25.352713178294573643410852713M
GAFI: Downside:0.3358021425737336331173125248M Upside:8.522549927258299166776881365M RR:25.379677038204017329657345412M
SLP: Downside:0.3120975940359200271094544222M Upside:8.488309047780413419179939004M RR:27.197611292073832790445168295M
DAR: Downside:0.3739221178667545449552369968M Upside:8.412533640907343329488658208M RR:22.498090481786133960047003525M
RMRK: Downside:0.298946295037389530931339225M Upside:8.381373215499660095173351462M RR:28.036384309266628766344513928M
RACA: Downside:0.2538497433504433037797480168M Upside:8.332711152589827344843677088M RR:32.825367647058823529411764706M
QI: Downside:0.2587939698492462311557788945M Upside:8.246231155778894472361809045M RR:31.864077669902912621359223301M
HNT: Downside:0.5029340697273041076976182258M Upside:8.123230928546772523299965482M RR:16.151681537405628002745367193M
DFI: Downside:0.2234848484848484848484848485M Upside:8.098484848484848484848484848M RR:36.237288135593220338983050847M
PERP: Downside:0.4381356936147167831576097074M Upside:8.071062295858789283961481832M RR:18.421375873923287882884622813M
MC: Downside:0.7377300613496932515337423313M Upside:8.018404907975460122699386503M RR:10.869022869022869022869022869M
GAL: Downside:0.4736842105263157894736842105M Upside:7.970072239422084623323013416M RR:16.825708061002178649237472767M
LOKA: Downside:0.4435517099299546765554182118M Upside:7.8108776266996291718170580964M RR:17.609846725499303297724105899M
HTR: Downside:0.5770833333333333333333333333M Upside:7.6979166666666666666666666667M RR:13.339350180505415162454873646M
ONE: Downside:0.4982005141388174807197943445M Upside:7.6961439588688946015424164524M RR:15.447884416924664602683178535M
SKL: Downside:0.4362759012205506670451319898M Upside:7.5977859778597785977859778598M RR:17.415094339622641509433962264M
KP3R: Downside:0.2391963608794541319181197877M Upside:7.5913570887035633055344958302M RR:31.736925515055467511885895404M
